date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:25:15	35120/35120	---M--	200	added ('OK')	image/jpeg	etag:CJaGma/t6O4CEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1613287788952-VLKAR4S3YK8T30JB7916/20140216_Nike_FBAT14_ColinKaepernick_Gym_CF036223_v2.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1613287788952-VLKAR4S3YK8T30JB7916/20140216_Nike_FBAT14_ColinKaepernick_Gym_CF036223_v29f6a.jpg	(from https://themarcus.com/portfolio/colin-kaepernick)
19:25:16	67840/67840	---M--	200	added ('OK')	image/jpeg	etag:CJGqqLS3ju8CEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/c9174fa7-7430-4c19-b3a8-79344118fcbc/20140216_Nike_FBAT14_ColinKaepernick_Field_05050_R2.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/c9174fa7-7430-4c19-b3a8-79344118fcbc/20140216_Nike_FBAT14_ColinKaepernick_Field_05050_R29f6a.jpg	(from https://themarcus.com/portfolio/colin-kaepernick)
19:25:18	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Thu,%2027%20Oct%202022%2014:25:33%20GMT	http://static1.squarespace.com/static/5e8f5d9bae8f137fbc83492a/5e8f5e1e8efd1f069d7a959a/5eb9d3bc58876077e64f6ef6/1613265949809/GILBERT_BW.jpg?format=1500w	E:/waheed/project_website/static1.squarespace.com/static/5e8f5d9bae8f137fbc83492a/5e8f5e1e8efd1f069d7a959a/5eb9d3bc58876077e64f6ef6/1613265949809/GILBERT_BW26f7.jpg	(from https://themarcus.com/portfolio/gilbert-and-claire)
19:25:18	70145/70145	---M--	200	added ('OK')	image/jpeg	etag:COm197S3ju8CEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/f29bdfb3-c664-4343-8bee-1fecdfc43895/20140216_Nike_FBAT14_ColinKaepernick_Field_05055.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/f29bdfb3-c664-4343-8bee-1fecdfc43895/20140216_Nike_FBAT14_ColinKaepernick_Field_050559f6a.jpg	(from https://themarcus.com/portfolio/colin-kaepernick)
19:25:18	118097/118097	---M--	200	added ('OK')	image/jpeg	etag:CMa8y/yb6O4CEAE=	https://images.squarespace-cdn.com/content/5e8f5d9bae8f137fbc83492a/1613265938904-E728WJRNHGMRQ8Z92IYH/GILBERT_BW.jpg?format=1500w&content-type=image%2Fjpeg	E:/waheed/project_website/images.squarespace-cdn.com/content/5e8f5d9bae8f137fbc83492a/1613265938904-E728WJRNHGMRQ8Z92IYH/GILBERT_BW43a3.jpg	(from https://themarcus.com/portfolio/gilbert-and-claire)
19:25:18	5293/5293	---M--	200	added ('OK')	image/jpeg	etag:CN/Bv63jxOsCEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590266132521-QEH3HR63MZ5FVE70R20Y/2018010_ME_LeisureCentre2_0232+1.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590266132521-QEH3HR63MZ5FVE70R20Y/2018010_ME_LeisureCentre2_0232+19f6a.jpg	(from https://themarcus.com/portfolio/gilbert-and-claire)
19:25:19	6561/6561	---M--	200	added ('OK')	image/jpeg	etag:CMKnn7H8x+sCEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590266149836-RF4PJTN35VCB0MPE160D/2018010_ME_LeisureCentre2_0517_v2.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590266149836-RF4PJTN35VCB0MPE160D/2018010_ME_LeisureCentre2_0517_v29f6a.jpg	(from https://themarcus.com/portfolio/gilbert-and-claire)
19:25:19	6444/6444	---M--	200	added ('OK')	image/jpeg	etag:CNX7xLD8x+sCEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590266150525-WAGQ0WLLCR8XLRYCOUCU/2018010_ME_LeisureCentre2_0577_v2.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590266150525-WAGQ0WLLCR8XLRYCOUCU/2018010_ME_LeisureCentre2_0577_v29f6a.jpg	(from https://themarcus.com/portfolio/gilbert-and-claire)
19:25:19	5298/5298	---M--	200	added ('OK')	image/jpeg	etag:CLXnzM3jxOsCEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590266149698-W09OXQKN91BGLHA0ZK7B/2018010_ME_LeisureCentre2_1809_v2.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590266149698-W09OXQKN91BGLHA0ZK7B/2018010_ME_LeisureCentre2_1809_v29f6a.jpg	(from https://themarcus.com/portfolio/gilbert-and-claire)
19:25:19	6999/6999	---M--	200	added ('OK')	image/jpeg	etag:CNL81s3jxOsCEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590266161087-2G0ND9CCNSPJMVJQIV5I/2018010_ME_LeisureCentre2_1940_v1a.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590266161087-2G0ND9CCNSPJMVJQIV5I/2018010_ME_LeisureCentre2_1940_v1a9f6a.jpg	(from https://themarcus.com/portfolio/gilbert-and-claire)
